                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.53664,                0.43732,                0.92304,                0.86731,                0.53033,                0.68044,                0.51669,                 1.1004,                 1.1114,                  1.288,              0.0010124,              0.0010124,              0.0010124
                     51,                0.55208,                0.42306,                0.93361,                0.85531,                0.68451,                0.77298,                0.61959,                 1.0247,                0.89137,                 1.2781,              0.0010075,              0.0010075,              0.0010075
                     52,                0.53658,                  0.398,                0.92791,                0.93239,                0.78807,                0.88527,                0.69587,                0.91329,                0.66455,                 1.1857,              0.0010025,              0.0010025,              0.0010025
                     53,                0.51769,                0.40616,                0.92949,                0.91203,                0.83413,                0.89643,                0.71256,                0.88675,                0.61164,                 1.1525,             0.00099755,             0.00099755,             0.00099755
                     54,                0.50298,                0.40686,                0.92807,                0.93762,                0.79687,                0.87262,                0.68462,                0.94648,                0.64566,                 1.1556,              0.0009926,              0.0009926,              0.0009926
                     55,                0.55297,                0.43141,                0.94534,                0.91392,                0.78966,                0.85502,                0.66763,                0.92773,                0.66094,                 1.1549,             0.00098765,             0.00098765,             0.00098765
                     56,                0.52642,                0.40935,                0.93275,                0.78134,                0.67866,                0.72729,                0.58415,                0.96595,                  0.746,                 1.2112,              0.0009827,              0.0009827,              0.0009827
                     57,                0.54405,                0.43558,                 0.9407,                0.88245,                0.75543,                0.83738,                0.64264,                0.95793,                0.69642,                 1.1703,             0.00097775,             0.00097775,             0.00097775
                     58,                0.53456,                0.41481,                0.93744,                0.91046,                0.79911,                0.87043,                 0.6955,                0.88225,                0.67253,                 1.1122,              0.0009728,              0.0009728,              0.0009728
                     59,                0.53631,                0.44022,                0.94932,                 0.8986,                0.80073,                0.86137,                 0.6857,                0.89991,                0.68095,                 1.1286,             0.00096785,             0.00096785,             0.00096785
                     60,                0.56072,                0.39415,                 0.9425,                0.92961,                0.80464,                 0.8614,                0.66986,                 0.8887,                0.70533,                 1.1315,              0.0009629,              0.0009629,              0.0009629
                     61,                0.52122,                0.43688,                0.94454,                0.95548,                0.81221,                 0.8757,                0.67097,                0.90899,                0.66625,                 1.1525,             0.00095795,             0.00095795,             0.00095795
                     62,                0.50102,                0.37499,                0.91599,                0.97613,                0.80772,                0.88135,                0.67169,                0.90654,                0.65498,                 1.1496,               0.000953,               0.000953,               0.000953
                     63,                0.54195,                0.41697,                0.95347,                0.93913,                0.80828,                0.87779,                0.69001,                 0.8792,                0.63033,                 1.1387,             0.00094805,             0.00094805,             0.00094805
                     64,                0.47865,                0.36788,                0.90371,                0.93312,                 0.8338,                0.88266,                0.71245,                0.85898,                0.67219,                 1.1451,              0.0009431,              0.0009431,              0.0009431
                     65,                0.51649,                0.41401,                0.92599,                0.96174,                0.82729,                0.89133,                0.72603,                0.85373,                0.65664,                  1.155,             0.00093815,             0.00093815,             0.00093815
